,NIQE,PSNR,MUSIQ
Intercept,5.060283141282467,21.850344635675935,39.70699187448829
Race[Black],0.6000884931398262,2.8729247347165816,6.508977824654503
Race[East Asian],0.89516791264898,2.9067844201644286,4.440394467063581
Race[Indian],0.6441194785108671,3.23664116028621,5.905590066157679
Race[Latino_Hispanic],0.5923991827540878,2.708096299423645,7.002173510585236
Race[Middle Eastern],0.8192248728228303,4.153553727626101,5.059262468163551
Race[Southeast Asian],0.7520144510054835,2.8719166527651994,6.163102680079169
Race[White],0.6737104746614853,3.02270396364587,4.673038460568174
Model[T.2016 Zhang],0.12096468597355128,-2.185842000400737,2.0741168519737836
Model[T.2017 Zhang],0.1406425696650069,-0.7249624835733572,4.968757685170762
Model[T.2018 Antic],0.16071383874376968,-1.0130095083820558,4.215375696605231
Model[T.2023 Kang],-0.014479470939951292,-2.1110958541640974,3.667635560046014
Race[T.East Asian]:Model[T.2016 Zhang],-0.026632328761105207,0.06730397673207372,-0.05303037459719825
Race[T.Indian]:Model[T.2016 Zhang],-0.027666271388890395,-0.1773068304189067,0.42801228562198373
Race[T.Latino_Hispanic]:Model[T.2016 Zhang],-0.05636619494821846,0.651769642679341,0.41042514102181643
Race[T.Middle Eastern]:Model[T.2016 Zhang],-0.019168640720763536,-0.7286805098315275,0.25482313546395224
Race[T.Southeast Asian]:Model[T.2016 Zhang],-0.06022229162488717,-0.1021376179542452,0.21730789400097802
Race[T.White]:Model[T.2016 Zhang],-0.021289234730998717,0.28348184867276843,0.27677534577534124
Race[T.East Asian]:Model[T.2017 Zhang],-0.024293752199225836,0.014075138402236178,0.29072814853946816
Race[T.Indian]:Model[T.2017 Zhang],-0.0156207261153227,-0.23091603367074978,0.6715332575198492
Race[T.Latino_Hispanic]:Model[T.2017 Zhang],-0.04794233548699262,0.8080596602549058,0.9555123810862369
Race[T.Middle Eastern]:Model[T.2017 Zhang],-0.013689882994059129,-0.6318558898572451,0.5957012497134112
Race[T.Southeast Asian]:Model[T.2017 Zhang],-0.05274394533224977,-0.22398758621325937,0.601222626504729
Race[T.White]:Model[T.2017 Zhang],-0.02628761806426145,0.19330820191179926,0.4738587995877262
Race[T.East Asian]:Model[T.2018 Antic],-0.013329194269764309,0.0775599147063064,0.14367161091806552
Race[T.Indian]:Model[T.2018 Antic],-0.008908166407270516,-0.19874536570138449,0.6502335813948643
Race[T.Latino_Hispanic]:Model[T.2018 Antic],-0.02415333028980977,0.547549830056663,0.7608298847537859
Race[T.Middle Eastern]:Model[T.2018 Antic],-0.004811280857178096,-0.6190992015512617,0.3982356959591106
Race[T.Southeast Asian]:Model[T.2018 Antic],-0.04439672593345831,-0.1563903233116077,0.5476756808469783
Race[T.White]:Model[T.2018 Antic],-0.023450212052056052,0.12905259044665227,0.4707036436946758
Race[T.East Asian]:Model[T.2023 Kang],-0.022795537513443005,-0.07597139427979421,0.45028419574094836
Race[T.Indian]:Model[T.2023 Kang],0.0006812101399671387,-0.49907602205948925,0.3129529167253949
Race[T.Latino_Hispanic]:Model[T.2023 Kang],-0.029071424144081773,0.6700879515593461,0.8155858347253488
Race[T.Middle Eastern]:Model[T.2023 Kang],-0.02115481870964301,-0.8380218904563208,0.44282795290506344
Race[T.Southeast Asian]:Model[T.2023 Kang],-0.029819395203354318,-0.30058781974814647,0.547453352977678
Race[T.White]:Model[T.2023 Kang],-0.014168884235001126,0.04211331421446757,0.3444059407203242
